(1, 1, 2)
(1, 2, 1)
(2, 1, 1)
(1, 5, 2)
(5, 1, 2)
(1, 5, 13)
(29, 5, 2)
(1, 34, 13)
(194, 5, 13)
(1, 34, 89)
(1325, 34, 13)
(194, 5, 2897)
(194, 7561, 13)
(29, 5, 433)
(29, 169, 2)
(29, 37666, 433)
(6466, 5, 433)
(29, 169, 14701)
(985, 169, 2)
(5, 1, 13)
(5, 29, 2)
(5, 194, 13)
(34, 1, 13)
(5, 194, 2897)
(7561, 194, 13)
(34, 1, 89)
(34, 1325, 13)
(5, 29, 433)
(169, 29, 2)
(5, 6466, 433)
(37666, 29, 433)
(169, 29, 14701)
(169, 985, 2)
(1, 2, 5)
(5, 2, 1)
(1, 13, 5)
(29, 2, 5)
(1, 13, 34)
(194, 13, 5)
(1, 89, 34)
(1325, 13, 34)
(194, 13, 7561)
(194, 2897, 5)
(29, 2, 169)
(29, 433, 5)
(29, 14701, 169)
(985, 2, 169)
(29, 433, 37666)
(6466, 433, 5)
(5, 2, 29)
(5, 13, 1)
(5, 433, 29)
(169, 2, 29)
(5, 433, 6466)
(37666, 433, 29)
(169, 2, 985)
(169, 14701, 29)
(5, 13, 194)
(34, 13, 1)
(5, 2897, 194)
(7561, 13, 194)
(34, 13, 1325)
(34, 89, 1)
(2, 1, 5)
(2, 5, 1)
(2, 29, 5)
(13, 1, 5)
(2, 29, 169)
(433, 29, 5)
(2, 985, 169)
(14701, 29, 169)
(433, 29, 37666)
(433, 6466, 5)
(13, 1, 34)
(13, 194, 5)
(13, 1325, 34)
(89, 1, 34)
(13, 194, 7561)
(2897, 194, 5)
(2, 5, 29)
(13, 5, 1)
(2, 169, 29)
(433, 5, 29)
(2, 169, 985)
(14701, 169, 29)
(433, 5, 6466)
(433, 37666, 29)
(13, 5, 194)
(13, 34, 1)
(13, 7561, 194)
(2897, 5, 194)
(13, 34, 1325)
(89, 34, 1)
(1, 1, 1)
(1, 1, 2)
(1, 5, 2)
(1, 5, 13)
(1, 34, 13)
(1, 34, 89)
(1325, 34, 13)
(194, 5, 13)
(194, 5, 2897)
(194, 7561, 13)
(29, 5, 2)
(29, 5, 433)
(29, 37666, 433)
(6466, 5, 433)
(29, 169, 2)
(29, 169, 14701)
(985, 169, 2)
(5, 1, 2)
(5, 1, 13)
(5, 194, 13)
(5, 194, 2897)
(7561, 194, 13)
(34, 1, 13)
(34, 1, 89)
(34, 1325, 13)
(5, 29, 2)
(5, 29, 433)
(5, 6466, 433)
(37666, 29, 433)
(169, 29, 2)
(169, 29, 14701)
(169, 985, 2)
(1, 2, 1)
(1, 2, 5)
(1, 13, 5)
(1, 13, 34)
(1, 89, 34)
(1325, 13, 34)
(194, 13, 5)
(194, 13, 7561)
(194, 2897, 5)
(29, 2, 5)
(29, 2, 169)
(29, 14701, 169)
(985, 2, 169)
(29, 433, 5)
(29, 433, 37666)
(6466, 433, 5)
(5, 2, 1)
(5, 2, 29)
(5, 433, 29)
(5, 433, 6466)
(37666, 433, 29)
(169, 2, 29)
(169, 2, 985)
(169, 14701, 29)
(5, 13, 1)
(5, 13, 194)
(5, 2897, 194)
(7561, 13, 194)
(34, 13, 1)
(34, 13, 1325)
(34, 89, 1)
(2, 1, 1)
(2, 1, 5)
(2, 29, 5)
(2, 29, 169)
(2, 985, 169)
(14701, 29, 169)
(433, 29, 5)
(433, 29, 37666)
(433, 6466, 5)
(13, 1, 5)
(13, 1, 34)
(13, 1325, 34)
(89, 1, 34)
(13, 194, 5)
(13, 194, 7561)
(2897, 194, 5)
(2, 5, 1)
(2, 5, 29)
(2, 169, 29)
(2, 169, 985)
(14701, 169, 29)
(433, 5, 29)
(433, 5, 6466)
(433, 37666, 29)
(13, 5, 1)
(13, 5, 194)
(13, 7561, 194)
(2897, 5, 194)
(13, 34, 1)
(13, 34, 1325)
(89, 34, 1)
